t, hrl, hpl, kl, wl, hrl_fb, hpl_fb, kl_fb, wl_fb
0.002,0.0523599,0.261799,-0.563811,0,0.0523599,0.261799,-0.563811,-6.59574e-10
0.004,0.0523599,0.261799,-0.563811,0,0.0523599,0.261799,-0.563811,-2.21593e-09
0.006,0.0523599,0.261799,-0.563811,0,0.0523599,0.261799,-0.563811,-4.17369e-09
0.008,0.0523599,0.261799,-0.563811,0,0.0523599,0.261799,-0.56381,-6.19331e-09
0.01,0.0523599,0.261799,-0.563811,0,0.0523598,0.261799,-0.56381,-8.05128e-09
0.012,0.0523599,0.261799,-0.563811,0,0.0523598,0.261799,-0.56381,-9.60935e-09
0.014,0.0523599,0.261799,-0.563811,0,0.0523598,0.261799,-0.56381,-1.07911e-08
0.016,0.0523599,0.261799,-0.563811,0,0.0523597,0.261799,-0.563809,-1.15639e-08
0.018,0.0523599,0.261799,-0.563811,0,0.0523597,0.261799,-0.563809,-1.19256e-08
0.02,0.0523599,0.261799,-0.563811,0,0.0523597,0.261799,-0.563808,-1.18945e-08
0.022,0.169734,0.298031,-0.341025,0,0.0523638,0.261858,-0.563963,8.00665e-05
0.024,0.169734,0.298031,-0.341025,0,0.052378,0.262087,-0.564449,0.000276601
0.026,0.169734,0.298031,-0.341025,0,0.0523966,0.262476,-0.565136,0.000473994
0.028,0.169734,0.298031,-0.341025,0,0.0524154,0.263,-0.566002,0.000668315
0.03,0.169734,0.298031,-0.341025,0,0.0524323,0.263633,-0.567014,0.000847631
0.032,0.169734,0.298031,-0.341025,0,0.052447,0.264348,-0.568143,0.00100303
0.034,0.169734,0.298031,-0.341025,0,0.0524597,0.265121,-0.56936,0.00113495
0.036,0.169734,0.298031,-0.341025,0,0.0524709,0.265931,-0.570643,0.00124544
0.038,0.169734,0.298031,-0.341025,0,0.0524807,0.266761,-0.571972,0.00133637
0.04,0.169734,0.298031,-0.341025,0,0.0524893,0.267599,-0.57333,0.0014095
0.042,0.18607,0.319063,-0.314509,0,0.0524969,0.268438,-0.574702,0.00146643
0.044,0.18607,0.319063,-0.314509,0,0.0525039,0.26928,-0.576084,0.00147789
0.046,0.18607,0.319063,-0.314509,0,0.0525106,0.270128,-0.577471,0.00141143
0.048,0.18607,0.319063,-0.314509,0,0.0525169,0.270972,-0.578854,0.00126522
0.05,0.18607,0.319063,-0.314509,0,0.052523,0.271803,-0.580224,0.00103791
0.052,0.18607,0.319063,-0.314509,0,0.0525288,0.272613,-0.581573,0.000728581
0.054,0.18607,0.319063,-0.314509,0,0.0525344,0.273396,-0.582896,0.000336722
0.056,0.18607,0.319063,-0.314509,0,0.0525398,0.274146,-0.584187,-0.000137949
0.058,0.18607,0.319063,-0.314509,0,0.052545,0.274859,-0.585442,-0.000695552
0.06,0.18607,0.319063,-0.314509,0,0.0525501,0.275531,-0.586656,-0.00133608
0.062,0.161338,0.316335,-0.294542,0,0.052555,0.27616,-0.587828,-0.00205946
0.064,0.161338,0.316335,-0.294542,0,0.0525577,0.276771,-0.588952,-0.00288812
0.066,0.161338,0.316335,-0.294542,0,0.0525559,0.277388,-0.590027,-0.00384272
0.068,0.161338,0.316335,-0.294542,0,0.0525502,0.278007,-0.591049,-0.00491979
0.07,0.161338,0.316335,-0.294542,0,0.0525408,0.278622,-0.592017,-0.00611608
0.072,0.161338,0.316335,-0.294542,0,0.0525283,0.279228,-0.592931,-0.00742851
0.074,0.161338,0.316335,-0.294542,0,0.0525131,0.279821,-0.593789,-0.00885434
0.076,0.161338,0.316335,-0.294542,0,0.0524955,0.280397,-0.594591,-0.0103911
0.078,0.161338,0.316335,-0.294542,0,0.0524759,0.280953,-0.595337,-0.0120367
0.08,0.161338,0.316335,-0.294542,0,0.0524547,0.281487,-0.596025,-0.013789
0.082,0.150134,0.328157,-0.331273,0,0.0524322,0.281996,-0.596657,-0.0156464
0.084,0.150134,0.328157,-0.331273,0,0.052411,0.282507,-0.597247,-0.0176238
0.086,0.150134,0.328157,-0.331273,0,0.0523933,0.283046,-0.59781,-0.0197354
0.088,0.150134,0.328157,-0.331273,0,0.0523783,0.283604,-0.598343,-0.0219779
0.09,0.150134,0.328157,-0.331273,0,0.0523657,0.284178,-0.598846,-0.0243483
0.092,0.150134,0.328157,-0.331273,0,0.0523551,0.28476,-0.599316,-0.0268437
0.094,0.150134,0.328157,-0.331273,0,0.0523462,0.285347,-0.599752,-0.0294621
0.096,0.150134,0.328157,-0.331273,0,0.0523388,0.285934,-0.600152,-0.0322014
0.098,0.150134,0.328157,-0.331273,0,0.0523327,0.286519,-0.600516,-0.0350597
0.1,0.150134,0.328157,-0.331273,0,0.0523277,0.287097,-0.600843,-0.0380352
0.102,0.144402,0.323852,-0.359442,0,0.0523237,0.287667,-0.601133,-0.0411265
0.104,0.144402,0.323852,-0.359442,0,0.05232,0.288245,-0.601408,-0.044273
0.106,0.144402,0.323852,-0.359442,0,0.0523161,0.288845,-0.6017,-0.0473713
0.108,0.144402,0.323852,-0.359442,0,0.052312,0.289459,-0.602004,-0.0504283
0.11,0.144402,0.323852,-0.359442,0,0.0523077,0.290082,-0.602314,-0.0534509
0.112,0.144402,0.323852,-0.359442,0,0.0523033,0.290707,-0.602626,-0.0564448
0.114,0.144402,0.323852,-0.359442,0,0.0522989,0.29133,-0.602935,-0.0594156
0.116,0.144402,0.323852,-0.359442,0,0.0522943,0.291947,-0.603239,-0.062368
0.118,0.144402,0.323852,-0.359442,0,0.0522898,0.292555,-0.603535,-0.0653064
0.12,0.144402,0.323852,-0.359442,0,0.0522852,0.293149,-0.60382,-0.068235
0.122,0.139277,0.341248,-0.357318,0,0.0522806,0.293727,-0.604092,-0.0711575
0.124,0.139277,0.341248,-0.357318,0,0.0522763,0.294309,-0.604355,-0.0740846
0.126,0.139277,0.341248,-0.357318,0,0.0522724,0.294917,-0.604612,-0.0770259
0.128,0.139277,0.341248,-0.357318,0,0.0522688,0.295542,-0.604861,-0.0799831
0.13,0.139277,0.341248,-0.357318,0,0.0522656,0.296182,-0.605099,-0.0829579
0.132,0.139277,0.341248,-0.357318,0,0.0522626,0.296829,-0.605325,-0.0859516
0.134,0.139277,0.341248,-0.357318,0,0.0522598,0.297481,-0.605538,-0.0889658
0.136,0.139277,0.341248,-0.357318,0,0.0522572,0.298133,-0.605736,-0.0920019
0.138,0.139277,0.341248,-0.357318,0,0.0522548,0.298781,-0.605919,-0.0950613
0.14,0.139277,0.341248,-0.357318,0,0.0522526,0.299422,-0.606085,-0.0981453
0.142,0.136211,0.334475,-0.370043,0,0.0522505,0.300054,-0.606234,-0.101255
0.144,0.136211,0.334475,-0.370043,0,0.0522484,0.300685,-0.606371,-0.104375
0.146,0.136211,0.334475,-0.370043,0,0.0522464,0.301324,-0.606502,-0.107487
0.148,0.136211,0.334475,-0.370043,0,0.0522445,0.301968,-0.606626,-0.110595
0.15,0.136211,0.334475,-0.370043,0,0.0522426,0.302611,-0.606742,-0.113699
0.152,0.136211,0.334475,-0.370043,0,0.0522408,0.303252,-0.606849,-0.116803
0.154,0.136211,0.334475,-0.370043,0,0.0522389,0.303886,-0.606947,-0.119908
0.156,0.136211,0.334475,-0.370043,0,0.0522368,0.304514,-0.607037,-0.123015
0.158,0.136211,0.334475,-0.370043,0,0.0522344,0.305132,-0.607119,-0.126126
0.16,0.136211,0.334475,-0.370043,0,0.0522316,0.305739,-0.607194,-0.129244
0.162,0.1362,0.352785,-0.368553,0,0.0522285,0.306333,-0.607261,-0.132368
0.164,0.1362,0.352785,-0.368553,0,0.0522256,0.306936,-0.607325,-0.135503
0.166,0.1362,0.352785,-0.368553,0,0.0522236,0.307565,-0.607391,-0.13865
0.168,0.1362,0.352785,-0.368553,0,0.0522224,0.308215,-0.607455,-0.141811
0.17,0.1362,0.352785,-0.368553,0,0.052222,0.30888,-0.607516,-0.144987
0.172,0.1362,0.352785,-0.368553,0,0.0522224,0.309556,-0.607573,-0.148179
0.174,0.1362,0.352785,-0.368553,0,0.0522234,0.310239,-0.607625,-0.151389
0.176,0.1362,0.352785,-0.368553,0,0.052225,0.310924,-0.60767,-0.154617
0.178,0.1362,0.352785,-0.368553,0,0.0522271,0.31161,-0.60771,-0.157866
0.18,0.1362,0.352785,-0.368553,0,0.0522298,0.312292,-0.607743,-0.161134
0.182,0.131317,0.352208,-0.375141,0,0.0522336,0.31297,-0.607771,-0.164423
0.184,0.131317,0.352208,-0.375141,0,0.0522382,0.313657,-0.607795,-0.167721
0.186,0.131317,0.352208,-0.375141,0,0.0522429,0.314364,-0.607817,-0.171014
0.188,0.131317,0.352208,-0.375141,0,0.0522479,0.315087,-0.607836,-0.174304
0.19,0.131317,0.352208,-0.375141,0,0.0522538,0.315824,-0.607852,-0.177593
0.192,0.131317,0.352208,-0.375141,0,0.0522615,0.31657,-0.607865,-0.18088
0.194,0.131317,0.352208,-0.375141,0,0.0522716,0.317322,-0.607876,-0.184167
0.196,0.131317,0.352208,-0.375141,0,0.0522849,0.318076,-0.607884,-0.187455
0.198,0.131317,0.352208,-0.375141,0,0.0523019,0.31883,-0.607889,-0.190746
0.2,0.131317,0.352208,-0.375141,0,0.0523211,0.319576,-0.607897,-0.193997
0.202,0.128605,0.36985,-0.368735,0,0.0523379,0.3203,-0.607922,-0.197127
0.204,0.128605,0.36985,-0.368735,0,0.0523535,0.321017,-0.60796,-0.200149
0.206,0.128605,0.36985,-0.368735,0,0.0523687,0.321741,-0.608011,-0.203073
0.208,0.128605,0.36985,-0.368735,0,0.0523833,0.322467,-0.608071,-0.205907
0.21,0.128605,0.36985,-0.368735,0,0.0523967,0.323193,-0.608136,-0.208658
0.212,0.128605,0.36985,-0.368735,0,0.0524085,0.323914,-0.608206,-0.21133
0.214,0.128605,0.36985,-0.368735,0,0.0524188,0.324628,-0.608278,-0.21393
0.216,0.128605,0.36985,-0.368735,0,0.0524277,0.325335,-0.608352,-0.216463
0.218,0.128605,0.36985,-0.368735,0,0.0524354,0.32603,-0.608426,-0.218931
0.22,0.128605,0.36985,-0.368735,0,0.052442,0.326711,-0.608497,-0.221342
0.222,0.119433,0.365073,-0.367068,0,0.0524478,0.327376,-0.608565,-0.223697
0.224,0.119433,0.365073,-0.367068,0,0.0524527,0.32803,-0.608629,-0.225993
0.226,0.119433,0.365073,-0.367068,0,0.0524568,0.328676,-0.608686,-0.228224
0.228,0.119433,0.365073,-0.367068,0,0.0524601,0.329313,-0.608736,-0.230394
0.23,0.119433,0.365073,-0.367068,0,0.0524629,0.329938,-0.60878,-0.232506
0.232,0.119433,0.365073,-0.367068,0,0.0524654,0.330551,-0.608816,-0.234563
0.234,0.119433,0.365073,-0.367068,0,0.0524677,0.33115,-0.608845,-0.236568
0.236,0.119433,0.365073,-0.367068,0,0.0524701,0.331735,-0.608869,-0.238523
0.238,0.119433,0.365073,-0.367068,0,0.0524726,0.332304,-0.608886,-0.24043
0.24,0.119433,0.365073,-0.367068,0,0.0524752,0.332855,-0.608899,-0.242293
0.242,0.111346,0.374732,-0.364278,0,0.0524781,0.333389,-0.608905,-0.244114
0.244,0.111346,0.374732,-0.364278,0,0.0524813,0.333915,-0.608908,-0.245899
0.246,0.111346,0.374732,-0.364278,0,0.052485,0.334443,-0.608909,-0.247655
0.248,0.111346,0.374732,-0.364278,0,0.0524891,0.334972,-0.608907,-0.249383
0.25,0.111346,0.374732,-0.364278,0,0.052495,0.3355,-0.608903,-0.251085
0.252,0.111346,0.374732,-0.364278,0,0.0525035,0.336026,-0.608896,-0.252763
0.254,0.111346,0.374732,-0.364278,0,0.0525148,0.336547,-0.608886,-0.254419
0.256,0.111346,0.374732,-0.364278,0,0.0525289,0.337062,-0.608871,-0.256053
0.258,0.111346,0.374732,-0.364278,0,0.0525458,0.337569,-0.608852,-0.257667
0.26,0.111346,0.374732,-0.364278,0,0.0525657,0.338066,-0.608828,-0.259263
0.262,0.0996962,0.376132,-0.365024,0,0.0525886,0.338552,-0.608799,-0.260843
0.264,0.0996962,0.376132,-0.365024,0,0.0526138,0.339035,-0.608765,-0.262405
0.266,0.0996962,0.376132,-0.365024,0,0.0526406,0.339521,-0.608725,-0.26395
0.268,0.0996962,0.376132,-0.365024,0,0.052669,0.340009,-0.608679,-0.265478
0.27,0.0996962,0.376132,-0.365024,0,0.0526984,0.340498,-0.608627,-0.266991
0.272,0.0996962,0.376132,-0.365024,0,0.0527285,0.340987,-0.60857,-0.26849
0.274,0.0996962,0.376132,-0.365024,0,0.052759,0.341475,-0.608506,-0.269975
0.276,0.0996962,0.376132,-0.365024,0,0.0527895,0.341961,-0.608435,-0.271447
0.278,0.0996962,0.376132,-0.365024,0,0.0528199,0.342444,-0.608357,-0.272908
0.28,0.0996962,0.376132,-0.365024,0,0.0528499,0.342922,-0.608272,-0.274358
0.282,0.0905847,0.385509,-0.363105,0,0.0528795,0.343393,-0.608179,-0.275799
0.284,0.0905847,0.385509,-0.363105,0,0.0529081,0.343861,-0.608078,-0.277233
0.286,0.0905847,0.385509,-0.363105,0,0.0529355,0.34433,-0.607966,-0.278664
