Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.048987,-0.000219,0.13336,0,0,0,31.377,0.66895,-0.006406,0.039872,0.78254,-0.000156,1.0364,0,0,0,0,0,0,package://y1aurdf20240523/meshes/base_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://y1aurdf20240523/meshes/base_link.STL,,L2C主体框架v6-1/L2C-10201 顶板-2;L2C主体框架v6-1/L2C-10202 右侧板-2;L2C主体框架v6-1/L2C-10203 左侧板-2;L2C主体框架v6-1/L2B-10204 底板-1;L2C主体框架v6-1/MTi-300 IMU-1;Rbase_link-1/RR4A-01201 基座-1;Lbase_link-1/LR4A-01201 基座-1,coordinate_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hip_link,-0.002379,-0.012657,-0.046897,0,0,0,21.38,0.41557,0.012013,0.081629,0.44474,0.050514,0.21809,0,0,0,0,0,0,package://y1aurdf20240523/meshes/right_hip_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://y1aurdf20240523/meshes/right_hip_link.STL,,右侧腿部-1/right_hip_cam-1/L2C-20202 右大腿盖-1;右侧腿部-1/right_hip_cam-1/L2C-20201 右大腿-1,coordinate_right_hip,axis_right_hip,right_hip_joint,revolute,-0.107,-0.1605,0.098,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
right_knee_link,-0.03675,-0.045099,-0.000197,0,0,0,12.592,0.074715,0.002206,-0.000176,0.88594,-0.000131,0.85857,0,0,0,0,0,0,package://y1aurdf20240523/meshes/right_knee_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://y1aurdf20240523/meshes/right_knee_link.STL,,右侧腿部-1/right_knee-1/L2C-20203 右小腿-1,coordinate_right_knee,axis_right_knee,right_knee_joint,revolute,0,-0.0625,-0.4,0,0,0,right_hip_link,0,1,0,0,0,0,0,,,,,,,,
fr_wheel_link,0,-0.019711,0,0,0,0,2.763,0.030178,0,0,0.059327,0,0.030178,0,0,0,0,0,0,package://y1aurdf20240523/meshes/fr_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://y1aurdf20240523/meshes/fr_wheel_link.STL,,右侧腿部-1/SETZ120-1JD-J 电机轮胎-2,coordinate_fr_wheel,axis_fr_wheel,fr_wheel_joint,continuous,0.25,-0.06675,0,0,0,0,right_knee_link,0,1,0,,,,,,,,,,,,
rr_wheel_link,0,-0.019711,0,0,0,0,2.763,0.030178,0,0,0.059327,0,0.030178,0,0,0,0,0,0,package://y1aurdf20240523/meshes/rr_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://y1aurdf20240523/meshes/rr_wheel_link.STL,,右侧腿部-1/SETZ120-1JD-J 电机轮胎-1,coordinate_rr_wheel,axis_rr_wheel,rr_wheel_joint,continuous,-0.33,-0.06675,0,0,0,0,right_knee_link,0,1,0,,,,,,,,,,,,
left_hip_link,-0.002364,0.012651,-0.046916,0,0,0,21.375,0.4155,-0.01204,0.081629,0.44468,-0.05044,0.21809,0,0,0,0,0,0,package://y1aurdf20240523/meshes/left_hip_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://y1aurdf20240523/meshes/left_hip_link.STL,,左侧腿部-1/left_hip-1/L2C-30201 左大腿-1;左侧腿部-1/left_hip-1/L2C-30202 左大腿盖-1,coordinate_left_hip,axis_left_hip,left_hip_joint,revolute,-0.107,0.1605,0.098,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
left_knee_link,-0.036877,0.045091,-0.000204,0,0,0,12.594,0.074724,-0.002149,-0.000101,0.88595,0.000135,0.85859,0,0,0,0,0,0,package://y1aurdf20240523/meshes/left_knee_link.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://y1aurdf20240523/meshes/left_knee_link.STL,,左侧腿部-1/left_knee-1/L2C-30203 左小腿-2,coordinate_left_knee,axis_left_knee,left_knee_joint,revolute,0,0.0625,-0.4,0,0,0,left_hip_link,0,-1,0,0,0,0,0,,,,,,,,
fl_wheel_link,0,0.019711,0,0,0,0,2.763,0.030178,0,0,0.059327,0,0.030178,0,0,0,0,0,0,package://y1aurdf20240523/meshes/fl_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://y1aurdf20240523/meshes/fl_wheel_link.STL,,左侧腿部-1/SETZ120-1JD-J 电机轮胎-1,coordinate_fl_wheel,axis_fl_wheel,fl_wheel_joint,continuous,0.25,0.06675,0,0,0,0,left_knee_link,0,-1,0,,,,,,,,,,,,
rl_wheel_link,0,0.019711,0,0,0,0,2.763,0.030178,0,0,0.059327,-9.9472E-18,0.030178,0,0,0,0,0,0,package://y1aurdf20240523/meshes/rl_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://y1aurdf20240523/meshes/rl_wheel_link.STL,,左侧腿部-1/SETZ120-1JD-J 电机轮胎-2,coordinate_rl_wheel,axis_rl_wheel,rl_wheel_joint,continuous,-0.33,0.06675,0,0,0,0,left_knee_link,0,-1,0,,,,,,,,,,,,
right_arm_link1,0.012377,-0.056315,-9E-05,0,0,0,1.2717,0.00142,-0.0001,-2E-06,0.00142,-1.4E-05,0.001635,0,0,0,0,0,0,package://y1aurdf20240523/meshes/right_arm_link1.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://y1aurdf20240523/meshes/right_arm_link1.STL,,Rlink1-1/RR4A-01202一二轴连接件-1,coordinate_right_arm_joint1,point_right_arm_joint1,right_arm_joint1,revolute,0.052504,-0.1585,0.306,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
